dataset,label,metric,series,mean_gap,n_runs
aime24,correct,conf,abs_d1,-0.20817725212831983,1447
aime24,correct,conf,abs_d2,-0.21355823379962421,1447
aime24,correct,entropy,abs_d1,-0.04095633594849584,1447
aime24,correct,entropy,abs_d2,-0.04069601192533935,1447
aime24,correct,gini,abs_d1,-0.01602241697129924,1447
aime24,correct,gini,abs_d2,-0.016454271037777128,1447
aime24,incorrect,conf,abs_d1,-0.14152574700451198,473
aime24,incorrect,conf,abs_d2,-0.17536666632627348,473
aime24,incorrect,entropy,abs_d1,-0.030988639724116303,473
aime24,incorrect,entropy,abs_d2,-0.036036236112210886,473
aime24,incorrect,gini,abs_d1,-0.011361316293032914,473
aime24,incorrect,gini,abs_d2,-0.013268750424063966,473
aime25,correct,conf,abs_d1,-0.10952101509426956,1262
aime25,correct,conf,abs_d2,-0.15976703621773342,1262
aime25,correct,entropy,abs_d1,-0.02260359666800294,1262
aime25,correct,entropy,abs_d2,-0.033662666181505665,1262
aime25,correct,gini,abs_d1,-0.009103112871610173,1262
aime25,correct,gini,abs_d2,-0.013836277239419093,1262
aime25,incorrect,conf,abs_d1,-0.1517464454616851,658
aime25,incorrect,conf,abs_d2,-0.1983581140919584,658
aime25,incorrect,entropy,abs_d1,-0.02886242083531208,658
aime25,incorrect,entropy,abs_d2,-0.03972591798145428,658
aime25,incorrect,gini,abs_d1,-0.01166029413067371,658
aime25,incorrect,gini,abs_d2,-0.016229443796722937,658
brumo25,correct,conf,abs_d1,-0.17281218514012048,1333
brumo25,correct,conf,abs_d2,-0.23549247970907003,1333
brumo25,correct,entropy,abs_d1,-0.031999102930096,1333
brumo25,correct,entropy,abs_d2,-0.04580076521238445,1333
brumo25,correct,gini,abs_d1,-0.013362706774733352,1333
brumo25,correct,gini,abs_d2,-0.019233735898129996,1333
brumo25,incorrect,conf,abs_d1,-0.1439073418723261,587
brumo25,incorrect,conf,abs_d2,-0.18884015600944917,587
brumo25,incorrect,entropy,abs_d1,-0.030451070716112034,587
brumo25,incorrect,entropy,abs_d2,-0.042091516275110735,587
brumo25,incorrect,gini,abs_d1,-0.012151397069826445,587
brumo25,incorrect,gini,abs_d2,-0.016900151411001877,587
gpqa,correct,conf,abs_d1,-0.1985590548523838,7620
gpqa,correct,conf,abs_d2,-0.26540224144471614,7620
gpqa,correct,entropy,abs_d1,-0.021847262440799972,7620
gpqa,correct,entropy,abs_d2,-0.02888306572095376,7620
gpqa,correct,gini,abs_d1,-0.008436200227417428,7620
gpqa,correct,gini,abs_d2,-0.011401763771862071,7620
gpqa,incorrect,conf,abs_d1,-0.14427243350129726,5045
gpqa,incorrect,conf,abs_d2,-0.21551025855451303,5045
gpqa,incorrect,entropy,abs_d1,-0.0063430374825618535,5045
gpqa,incorrect,entropy,abs_d2,-0.011012314261034249,5045
gpqa,incorrect,gini,abs_d1,-0.0014343421128232205,5045
gpqa,incorrect,gini,abs_d2,-0.0031325173387330876,5045
hmmt25,correct,conf,abs_d1,-0.15812092626702803,933
hmmt25,correct,conf,abs_d2,-0.21064734687484707,933
hmmt25,correct,entropy,abs_d1,-0.02942582468056247,933
hmmt25,correct,entropy,abs_d2,-0.04085679641066048,933
hmmt25,correct,gini,abs_d1,-0.01226947231709053,933
hmmt25,correct,gini,abs_d2,-0.017133885758832346,933
hmmt25,incorrect,conf,abs_d1,-0.12325886530804488,987
hmmt25,incorrect,conf,abs_d2,-0.1727689304550062,987
hmmt25,incorrect,entropy,abs_d1,-0.026199396938776723,987
hmmt25,incorrect,entropy,abs_d2,-0.03860777045966568,987
hmmt25,incorrect,gini,abs_d1,-0.010011562537757536,987
hmmt25,incorrect,gini,abs_d2,-0.015015684923490483,987
livecodebench_v5,correct,conf,abs_d1,-0.1074327571604752,6271
livecodebench_v5,correct,conf,abs_d2,-0.17380102606222772,6271
livecodebench_v5,correct,entropy,abs_d1,-0.022705566573685727,6271
livecodebench_v5,correct,entropy,abs_d2,-0.035765545293363496,6271
livecodebench_v5,correct,gini,abs_d1,-0.007228900354145362,6271
livecodebench_v5,correct,gini,abs_d2,-0.012150199406482157,6271
livecodebench_v5,incorrect,conf,abs_d1,-0.09437642967403513,4414
livecodebench_v5,incorrect,conf,abs_d2,-0.14161502418331967,4414
livecodebench_v5,incorrect,entropy,abs_d1,-0.018280725244539536,4414
livecodebench_v5,incorrect,entropy,abs_d2,-0.028671072777796444,4414
livecodebench_v5,incorrect,gini,abs_d1,-0.00551048018831633,4414
livecodebench_v5,incorrect,gini,abs_d2,-0.009319267482928988,4414
