label,branch,model,features,auroc,auprc,brier,logloss
tok_conf_prefix (rule),ref,rule,tok_conf_prefix,0.4947497602245363,0.5857190351676469,0.3495400654008206,0.9643041671377164
XGBoost base-30 (reference ~55.58%),ref,xgb,base30,0.5035316565382165,0.5873210297461674,0.26983184075162153,0.748753863266101
XGBoost Tier-1 only,A,xgb,tier1_only,0.5373533157915364,0.6294836076173927,0.26196196002324446,0.729214781104069
XGBoost base-30 + Tier-1,A,xgb,base30+tier1,0.5095043531451674,0.5927826358079402,0.2721143663690387,0.7565108400864837
XGBoost base-30 + Tier-1 (within-group-z),A,xgb,base30+tier1_wz,0.40367594524075523,0.5524509788073808,0.31031373302752774,0.8431385733993206
SVD-LR Tier-1 only,A,lr_svd,tier1_only,0.46718376802260037,0.5719806213555463,0.2490836961171997,0.6918314609111251
SVD-LR base-30 + Tier-1,A,lr_svd,base30+tier1,0.488088140879809,0.5921409347132236,0.24911645315767328,0.6919466447521667
XGBoost base-30 within-group-rank,A,xgb,base30_wrank,0.4893425929095924,0.5810882753178597,0.252140420386482,0.6989029758112943
XGBoost base-30+Tier-1 within-group-rank,A,xgb,base30+tier1_wrank,0.48812220762405734,0.5811982479232166,0.25223802362179765,0.6991707759843735
XGBoost derivative only,B,xgb,deriv_only,0.503892507898907,0.5887100766050393,0.25608261271938193,0.7103352484912312
XGBoost base-30 + derivatives,B,xgb,base30+deriv,0.4981527289374795,0.582964072437959,0.27235473816449,0.755279065139187
XGBoost all features (base+tier1+deriv),B,xgb,all50,0.5056699856616602,0.5886407202294567,0.2735055118211184,0.7595297519261067
SVD-LR base-30 + derivatives,B,lr_svd,base30+deriv,0.47402825621648387,0.5712835448467205,0.2507807810556598,0.6957282409844858
Pairwise SVM Tier-1 only,C,pairwise_svm,tier1_only,0.49347519759985603,0.5882668834150181,0.32783250956584886,0.8964188872747556
Pairwise SVM base-30 + Tier-1,C,pairwise_svm,base30+tier1,0.5133418496853845,0.609243910311708,0.273974142076704,0.756054605282907
Pairwise SVM all features,C,pairwise_svm,all50,0.5013932838035664,0.5955174157729058,0.2859043561422587,0.7853543180198719
