domain,family,rank_label,auroc_mean,auroc_std,balanced_acc_mean,n_valid_folds,effective_rank,var_mass_at_4,var_mass_at_8,var_mass_at_16
coding,token_plus_traj,no_svd,0.4910,0.0810,0.4943,5,,,,
coding,token_plus_traj,r1,0.4461,0.0621,0.5000,5,12.0802,0.8416,0.9701,0.9985
coding,token_plus_traj,r2,0.4467,0.0879,0.4987,5,12.0802,0.8416,0.9701,0.9985
coding,token_plus_traj,r4,0.4749,0.0953,0.4891,5,12.0802,0.8416,0.9701,0.9985
coding,token_plus_traj,r6,0.4720,0.0736,0.4876,5,12.0802,0.8416,0.9701,0.9985
coding,token_plus_traj,r8,0.4879,0.0742,0.4960,5,12.0802,0.8416,0.9701,0.9985
coding,token_plus_traj,r12,0.5012,0.0839,0.5035,5,12.0802,0.8416,0.9701,0.9985
coding,token_plus_traj,r16,0.4915,0.0762,0.4978,5,12.0802,0.8416,0.9701,0.9985
coding,token_plus_traj,r24,0.4917,0.0804,0.4966,5,12.0802,0.8416,0.9701,0.9985
math,token_plus_traj,no_svd,0.9679,0.0103,0.9193,5,,,,
math,token_plus_traj,r1,0.6115,0.0457,0.5472,5,10.9136,0.8849,0.9836,0.9991
math,token_plus_traj,r2,0.7149,0.0562,0.6307,5,10.9136,0.8849,0.9836,0.9991
math,token_plus_traj,r4,0.8891,0.0290,0.7874,5,10.9136,0.8849,0.9836,0.9991
math,token_plus_traj,r6,0.9044,0.0296,0.8153,5,10.9136,0.8849,0.9836,0.9991
math,token_plus_traj,r8,0.9495,0.0175,0.8834,5,10.9136,0.8849,0.9836,0.9991
math,token_plus_traj,r12,0.9640,0.0113,0.9105,5,10.9136,0.8849,0.9836,0.9991
math,token_plus_traj,r16,0.9679,0.0099,0.9205,5,10.9136,0.8849,0.9836,0.9991
math,token_plus_traj,r24,0.9678,0.0103,0.9189,5,10.9136,0.8849,0.9836,0.9991
