component,rank,feature_name,loading_value,singular_value
1,1,raw_tok_neg_entropy_recency,0.2451,369.54
1,2,raw_tok_selfcert_recency,0.2451,369.54
1,3,raw_tok_logprob_recency,0.2448,369.54
2,1,rank_has_rows_bank,0.3642,261.77
2,2,rank_has_tok_logprob,0.3642,261.77
2,3,rank_has_tok_selfcert,0.3642,261.77
3,1,rank_tok_neg_entropy_recency,0.2370,260.90
3,2,rank_tok_selfcert_recency,0.2370,260.90
3,3,rank_tok_neg_entropy_prefix,0.2357,260.90
4,1,rank_traj_reflection_count,0.4161,160.69
4,2,raw_traj_reflection_count,0.3663,160.69
4,3,rank_tok_gini_tail,0.3444,160.69
5,1,raw_traj_max_reflection,0.4922,152.50
5,2,rank_traj_max_reflection,0.3998,152.50
5,3,raw_tok_gini_slope,-0.2900,152.50
6,1,raw_traj_late_convergence,0.4468,146.43
6,2,rank_tok_gini_slope,0.3283,146.43
6,3,raw_tok_gini_slope,0.3280,146.43
7,1,rank_traj_max_reflection,0.4786,109.82
7,2,rank_traj_novelty,-0.4060,109.82
7,3,rank_traj_continuity,0.3846,109.82
8,1,raw_traj_late_convergence,0.4690,105.98
8,2,rank_tok_gini_slope,-0.4598,105.98
8,3,raw_tok_gini_slope,-0.4475,105.98
9,1,rank_tok_gini_tail,0.6075,98.56
9,2,raw_tok_gini_tail,0.4469,98.56
9,3,raw_traj_late_convergence,-0.3431,98.56
10,1,raw_traj_reflection_count,0.5629,87.11
10,2,raw_traj_continuity,0.3839,87.11
10,3,rank_tok_conf_recency,-0.2748,87.11
11,1,raw_traj_novelty,0.4649,76.51
11,2,rank_traj_max_reflection,-0.4559,76.51
11,3,raw_traj_reflection_count,0.3537,76.51
12,1,rank_traj_reflection_count,0.6190,70.82
12,2,rank_traj_continuity,0.3552,70.82
12,3,rank_tok_conf_recency,-0.3301,70.82
