category,experiment,protocol,scope,domain,method_name,auc_of_auroc,auc_of_selacc,earliest_gt_0_6,auroc_at_100,stop_acc_at_100,source_anchor_pct,target_anchor_pct,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd,notes
earlystop_baseline,es_svd_ms_rr_r1_repro,"85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42; canonical token_plus_traj_fixed raw+rank",combined_noncoding,math+science,es_svd_ms_rr_r1,0.9206602741,0.9955128205,0.1,0.9474312584,0.7351851852,,,,,,,,reproduced from cached canonical feature store
earlystop_baseline,es_svd_ms_rr_r1_repro,"85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42",combined_noncoding,math+science,tok_conf_prefix_mean_v1,0.7126735109,0.9469106125,0.1,0.7221070318,0.7388888889,,,,,,,,simple single-signal baseline
earlystop_baseline,es_svd_ms_rr_r1_repro,"85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42",combined_noncoding,math+science,earlystop_svd_lowrank_lr_v1,0.7758118091,0.9582309473,0.1,0.8800720294,0.7259259259,,,,,,,,legacy earlystop SVD v1
earlystop_baseline,es_svd_ms_rr_r1_repro,"85/15 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42",combined_noncoding,math+science,earlystop_prefix10_svd_round1,0.8988316922,0.9950587607,0.1,0.9264226098,0.7740740741,,,,,,,,prefix10 anchor4 baseline
strongfeat_baseline,strongfeat_cap8_repro,"80/20 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42; max_problems_per_cache=8",holdout_noncoding_plus_coding_fallback,math+science,strongfeat_noncoding_anchor4_coding_v1_ref020,0.9419407201,0.9521367521,0.1,0.9485961069,0.7222222222,,,,,,,,higher AUROC candidate in this rerun
strongfeat_baseline,strongfeat_cap8_repro,"80/20 grouped holdout by dataset+problem_id across cache+cache_train; split_seed=42; max_problems_per_cache=8",holdout_noncoding_plus_coding_fallback,math+science,strongfeat_noncoding_anchor4_coding_v1_ref030,0.9112855029,0.9589743590,0.1,0.9202881620,0.6666666667,,,,,,,,selected winner in this rerun because SelAcc improved but guardrail blocked export
cross_anchor_baseline,cross_anchor_transfer_repro,"canonical GroupKFold offline protocol using es_svd_ms_rr_r1 bundle and cached noncoding feature store",diagonal_mean,math,frozen_basis_vs_task_specific_vs_no_svd,,,,,,,"","",0.9402105000,0.9412642500,0.9424972500,-0.0010537500,-0.0022867500,AUROC mean over 10->10 40->40 70->70 100->100
cross_anchor_baseline,cross_anchor_transfer_repro,"canonical GroupKFold offline protocol using es_svd_ms_rr_r1 bundle and cached noncoding feature store",offdiag_focus_mean,math,frozen_basis_vs_task_specific_vs_no_svd,,,,,,,"","",0.9556310000,0.9588637500,0.9600917500,-0.0032327500,-0.0044607500,AUROC mean over 10->100 40->100 100->40 100->70
cross_anchor_baseline,cross_anchor_transfer_repro,"canonical GroupKFold offline protocol using es_svd_ms_rr_r1 bundle and cached noncoding feature store",diagonal_mean,science,frozen_basis_vs_task_specific_vs_no_svd,,,,,,,"","",0.7333945000,0.7411165000,0.7451505000,-0.0077220000,-0.0117560000,AUROC mean over 10->10 40->40 70->70 100->100
cross_anchor_baseline,cross_anchor_transfer_repro,"canonical GroupKFold offline protocol using es_svd_ms_rr_r1 bundle and cached noncoding feature store",offdiag_focus_mean,science,frozen_basis_vs_task_specific_vs_no_svd,,,,,,,"","",0.7437602500,0.7635157500,0.7659295000,-0.0197555000,-0.0221692500,AUROC mean over 10->100 40->100 100->40 100->70
