domain,feature,mean,std,pct_valid,pct_nan,note
math,activated_neuron_count,17341.7477,7141.0313,100.0,0.0,
math,neuron_density,0.8277,0.1284,100.0,0.0,
math,topk10_neuron_count,1738.9285,714.8521,100.0,0.0,
math,neuron_weight_entropy,8.7710,0.3088,100.0,0.0,
math,mean_jaccard_sim,0.4641,0.0452,100.0,0.0,
math,max_jaccard_sim,0.5217,0.0492,100.0,0.0,
math,knn_agree_score,0.5133,0.0487,100.0,0.0,
math,medoid_distance,0.5359,0.0452,100.0,0.0,
math,minact_rank,0.5000,0.2932,100.0,0.0,
science,activated_neuron_count,8228.0063,3336.9426,100.0,0.0,
science,neuron_density,0.7274,0.1563,100.0,0.0,
science,topk10_neuron_count,826.3699,334.5896,100.0,0.0,
science,neuron_weight_entropy,8.3811,0.2385,100.0,0.0,
science,mean_jaccard_sim,0.4878,0.0571,100.0,0.0,
science,max_jaccard_sim,0.5652,0.0459,100.0,0.0,
science,knn_agree_score,0.5557,0.0456,100.0,0.0,
science,medoid_distance,0.5122,0.0571,100.0,0.0,
science,minact_rank,0.5000,0.2932,100.0,0.0,
coding,activated_neuron_count,19170.4583,8298.5251,100.0,0.0,
coding,neuron_density,0.7318,0.1629,100.0,0.0,
coding,topk10_neuron_count,1922.5624,831.2593,100.0,0.0,
coding,neuron_weight_entropy,8.9526,0.4430,100.0,0.0,
coding,mean_jaccard_sim,0.4562,0.0484,100.0,0.0,
coding,max_jaccard_sim,0.5286,0.0601,100.0,0.0,
coding,knn_agree_score,0.5193,0.0575,100.0,0.0,
coding,medoid_distance,0.5438,0.0484,100.0,0.0,
coding,minact_rank,0.5000,0.2932,100.0,0.0,
